#   Mstar [Msun]     SM=100Mgc/Mstar
   113702432.903     0.290
   121273153.657     0.294
   129347960.483     0.298
   137960417.260     0.302
   147146322.676     0.307
   156943859.021     0.311
   167393750.904     0.317
   178539434.525     0.323
   190427238.222     0.330
   203106575.047     0.337
   216630148.146     0.343
   231054169.837     0.348
   246438595.254     0.346
   262847371.566     0.344
   280348703.774     0.341
   299746333.673     0.336
   318924864.940     0.336
   339547251.749     0.346
   362809130.586     0.364
   386966279.597     0.378
   412731899.287     0.393
   440213087.472     0.410
   469524072.930     0.412
   500786690.208     0.403
   534130886.035     0.394
   567695707.380     0.386
   607627637.995     0.377
   647769284.109     0.376
   691237590.090     0.384
   737262698.221     0.389
   786352325.135     0.394
   838710517.618     0.400
   894554908.631     0.405
   953186212.261     0.407
  1017646236.906     0.411
  1085404817.695     0.413
  1159241618.946     0.411
  1232949601.920     0.414
  1316971833.599     0.423
  1404660599.250     0.431
  1498188001.252     0.439
  1597942797.210     0.447
  1704339629.621     0.456
  1817820749.382     0.465
  1938857854.066     0.478
  2067954048.577     0.491
  2205645936.373     0.504
  2352505849.919     0.517
  2509144229.650     0.531
  2676212161.344     0.547
  2854404082.432     0.571
  3044460668.513     0.600
  3247171912.052     0.630
  3463380406.084     0.662
  3693984846.545     0.695
  3939943767.809     0.701
  4202279526.950     0.660
  4482082553.285     0.620
  4780515880.875     0.583
  5098819982.812     0.548
  5438317927.387     0.515
  5800420877.582     0.504
  6186633956.735     0.530
  6598562504.758     0.559
  7037918750.922     0.589
  7506528930.940     0.621
  8006340877.927     0.655
  8539432118.800     0.690
  9108018509.757     0.721
  9714463446.750     0.747
 10361287689.210     0.774
 11051179837.882     0.801
 11787007510.312     0.830
 12571829260.428     0.860
 13408907291.787     0.868
 14301721017.296     0.854
 15253981521.810     0.840
 16269646987.682     0.825
 17352939147.416     0.812
 18508360831.795     0.799
 19740714686.417     0.785
 21055123134.464     0.783
 22457049668.647     0.783
 23952321560.854     0.779
 25547154083.893     0.777
 27248176345.996     0.777
 29062458845.489     0.776
 30997542860.143     0.769
 33061471793.381     0.762
 35262824607.622     0.756
 37610751483.753     0.749
 40115011854.916     0.742
 42786014972.746     0.738
 45634863174.637     0.743
 48673398031.913     0.744
 51914249570.704     0.747
 55370888770.130     0.749
 65599632810.828     0.755
 76242240588.066     0.764
 81358446502.603     0.771
 86945256294.965     0.782
 92734387094.285     0.788
 98908979238.361     0.794
105494698142.858     0.817
112518918119.987     0.866
120010836163.045     0.920
128646151144.588     0.980
137273155062.171     1.044
146369565887.277     1.100
156162029104.454     1.167
165651369727.312     1.242
176681039283.804     1.310
188445104280.101     1.385
200249946904.052     1.485
206504062279.688     1.519
