#   Mstar [Msun]      SM=100Mgc/Mstar
   110249708.782      2.490
   121494294.183      2.489
   129603481.097      2.489
   138253919.047      2.489
   147481734.055      2.493
   157325463.392      2.501
   167826216.515      2.482
   179027846.749      2.461
   190977134.425      2.442
   203723982.250      2.422
   217321623.704      2.402
   231826845.362      2.382
   247300224.038      2.380
   263806379.774      2.380
   281414245.701      2.380
   300197355.922      2.380
   320234152.603      2.380
   341608313.566      2.380
   364409101.743      2.368
   388731737.956      2.363
   414677798.584      2.363
   442355639.759      2.362
   471880849.892      2.372
   503376732.385      2.405
   536974820.583      2.441
   572815427.073      2.473
   611048229.667      2.502
   651832896.483      2.477
   695339752.754      2.442
   741750492.141      2.406
   791258935.524      2.372
   844071840.436      2.338
   900409764.531      2.304
   937373658.543      2.295
  1024617489.502      2.318
  1093006007.616      2.340
  1165959145.657      2.368
  1243781571.069      2.391
  1326798286.453      2.405
  1415355986.840      2.417
  1509824507.567      2.434
  1610598368.781      2.447
  1718098423.042      2.457
  1832773612.886      2.477
  1955102845.705      2.500
  2085596993.764      2.525
  2224801027.706      2.551
  2373296292.469      2.576
  2531702935.094      2.603
  2700682494.598      2.639
  2880940664.691      2.728
  3073230240.900      2.830
  3278354264.403      2.936
  3497169375.694      3.044
  3730589392.088      3.160
  3883738676.251      3.217
  4245208446.042      3.111
  4528556639.573      3.038
  4830817025.472      2.968
  5153251905.842      2.900
  5678842238.771      2.805
  5864121246.272      2.904
  6255524444.229      3.124
  6673052010.516      3.364
  7118447626.903      3.622
  7593571357.920      3.900
  8100407418.872      4.201
  8684687615.568      4.518
  9130438663.728      4.819
  9696362058.776      5.253
 10282971389.270      5.708
 10816805475.101      6.208
 11471199254.889      6.743
 12264448932.497      7.328
 13071145532.879      8.029
 13987755718.835      7.793
 14921374259.563      7.595
 15917307555.932      7.395
 16979714832.081      7.205
 18113032921.284      7.017
 19321994795.086      6.839
 20611649329.176      6.731
 21987382388.540      6.695
 23454939319.948      6.652
 25020448945.718      6.607
 26690449158.947      6.569
 29009376774.076      6.507
 35400772987.999      7.969
 39225875633.433      8.801
 41831441050.086      9.334
 44033512839.334     10.000
 46972547865.863     10.875
 50107750000.809     11.788
 55777014306.420     13.560
 59763264696.867     14.785
 64625807164.157     16.264
 71699265364.870     14.654
 78799088080.821     13.136
 85398452315.699     11.882
 92960295281.634     10.784
 99489097259.002      9.984
103205471744.160      9.584
109202880936.012     10.306
117699284710.419     11.292
124398819240.431     12.113
137002626363.099     13.790
164135658243.855     17.113
200145058396.442     21.977
206391200162.310     22.941
