# Cluster_name   Mass[Msun]   DeltaMass[Msun] (Baumgardt et al. 2019)[doi:10.1093/mnras/sty2997] from https://people.smp.uq.edu.au/HolgerBaumgardt/globular/
NGC_104            8.53e+05          5.35e+03
NGC_288            9.62e+04          3.75e+03
NGC_362            2.52e+05          3.91e+03
Whiting_1          1.37e+03          2.73e+02
NGC_1261           1.72e+05          3.22e+03
Pal_1              9.26e+02          1.83e+02
AM_1               1.96e+04          3.92e+03
Eridanus           9.29e+03          1.86e+03
Pal_2              2.20e+05          3.89e+04
NGC_1851           2.83e+05          3.63e+03
NGC_1904           1.81e+05          6.88e+03
NGC_2298           4.98e+04          2.93e+03       
NGC_2419           7.83e+05          1.17e+05       
Pyxis              3.22e+04          5.26e+03       
NGC_2808           7.91e+05          7.74e+03
E_3                2.56e+03          4.71e+02
Pal_3              1.85e+04          3.38e+03
NGC_3201           1.93e+05          3.22e+03
Pal_4              1.53e+04          2.81e+03
Crater             1.21e+04          2.38e+03
NGC_4147           4.51e+04          1.09e+04
NGC_4372           1.89e+05          6.95e+03
Rup_106            3.40e+04          5.82e+03
NGC_4590           1.28e+05          5.95e+03
BH_140             6.12e+04          5.06e+03
NGC_4833           1.86e+05          4.11e+03
NGC_5024           5.02e+05          8.48e+03
NGC_5053           6.28e+04          1.43e+04
NGC_5139           3.94e+06          1.67e+04
NGC_5272           4.09e+05          6.89e+03
NGC_5286           4.24e+05          9.31e+03
AM_4               7.46e+02          1.49e+02
NGC_5466           5.61e+04          7.55e+03
NGC_5634           2.47e+05          4.77e+04
NGC_5694           2.69e+05          2.47e+04
IC_4499            1.50e+05          2.52e+04
NGC_5824           7.46e+05          4.07e+04
Pal_5              1.34e+04          2.39e+03
NGC_5897           1.67e+05          9.81e+03
NGC_5904           3.92e+05          4.42e+03
NGC_5927           2.93e+05          4.72e+03
NGC_5946           1.13e+05          1.58e+04
NGC_5986           2.99e+05          5.41e+03
FSR_1716           5.66e+04          1.97e+04
Pal_14             1.91e+04          3.55e+03
Lynga_7            6.75e+04          9.02e+03
NGC_6093           3.21e+05          8.92e+03
RLGC_1             2.85e+05                 0
NGC_6101           1.74e+05          3.11e+04
NGC_6121           9.04e+04          1.12e+03
