# log(Mcl/Msun)  N (Caldwell et al. 2009)[doi:10.1088/0004-6256/137/1/94]
2.2              0
2.2              0
2.4              0
2.4              0
2.6              0
2.6              0
2.8              0
2.8              0
3.2              0
3.2              0
3.4              0
3.4              0
3.6              0
3.6              0
3.8              0
3.8              0
4.0              0
4.0              3
4.2              3
4.2              0
4.4              0
4.4              1
4.6              1
4.6              1
4.8              1
4.8              2
5.0              2
5.0              0
5.2              0
5.2              1
5.4              1
5.4              0
5.6              0
5.6              0
5.8              0
5.8              0
6.0              0
6.0              0
6.2              0
6.2              0
6.4              0
6.4              0
6.6              0
6.6              0
6.8              0
6.8              0
7.0              0
