# log(Mcl/Msun)  N (Caldwell et al. 2009)[doi:10.1088/0004-6256/137/1/94]
2.2              0
2.2              0
2.4              0
2.4              0
2.6              0
2.6              0
2.8              0
2.8              0
3.2              0
3.2              0
3.4              0
3.4              0
3.6              0
3.6              0
3.8              0
3.8              0
4.0              0
4.0              6
4.2              6
4.2              2
4.4              2
4.4             11
4.6             11
4.6             15
4.8             15
4.8             30
5.0             30
5.0             53
5.2             53
5.2             65
5.4             65
5.4             67
5.6             67
5.6             42
5.8             42
5.8             36
6.0             36
6.0             28
6.2             28
6.2             10
6.4             10
6.4              6
6.6              6
6.6              2
6.8              2
6.8              0
7.0              0
