# log(Mcl/Msun)  N (Caldwell et al. 2009)[doi:10.1088/0004-6256/137/1/94]
2.2              0
2.2              1
2.4              1
2.4              1
2.6              1
2.6              1
2.8              1
2.8              0
3.2              0
3.2              7
3.4              7
3.4              8
3.6              8
3.6             12
3.8             12
3.8             23
4.0             23
4.0             26
4.2             26
4.2             24
4.4             24
4.4             17
4.6             17
4.6              7
4.8              7
4.8              3
5.0              3
5.0              4
5.2              4
5.2              0
5.4              0
5.4              0
5.6              0
5.6              0
5.8              0
5.8              0
6.0              0
6.0              0
6.2              0
6.2              0
6.4              0
6.4              0
6.6              0
6.6              0
6.8              0
6.8              0
7.0              0
