# Name     log(Mstar/Msun) [Fe/H] [Fe/H]_sigma (Caldwell et al. 2011)[doi:10.1088/0004-6256/141/2/61]
B291-G009              5.5   -1.2          0.1
B295-G014              5.3   -1.7          0.2
B422                   4.9   -1.2          0.2
B301-G022              5.5   -0.9          0.1
B167D                  5.0   -1.5          0.2
B302-G023              5.4   -1.5          0.3
B304-G028              5.4   -1.3          0.1
B306-G029              6.1   -1.1          0.1
B309-G031              5.3   -1.2          0.2
B310-G032              5.3   -1.4          0.1
B181D                  5.0   -1.0          0.1
B311-G033              6.2   -1.9          0.2
B312-G035              6.1   -1.2          0.1
B313-G036              5.9   -1.0          0.1
B001-G039              5.7   -0.7          0.1
B317-G041              5.5   -2.1          0.2
B002-G043              5.1   -2.2          0.2
B003-G045              5.1   -1.6          0.2
B004-G050              5.5   -0.7          0.1
B005-G052              5.9   -0.7          0.1
B328-G054              5.2   -1.2          0.2
B330-G056              5.1   -1.4          0.1
B331-G057              4.8   -0.8          0.2
B006-G058              6.0   -0.5          0.1
B244                   4.8   -1.4          0.2
BH04                   4.2   -0.4          0.6
B333                   4.5   -0.8          0.2
B008-G060              5.6   -0.8          0.1
B009-G061              5.4   -1.3          0.1
B010-G062              5.6   -1.8          0.2
B011-G063              5.4   -1.2          0.1
B012-G064              6.2   -1.7          0.1
B013-G065              5.3   -0.5          0.1
B015-V204              5.6   -0.1          0.2
B016-G066              5.3   -0.7          0.1
B336-G067              4.9   -2.5          0.6
B337-G068              5.4   -1.2          0.1
B017-G070              6.2   -0.8          0.1
B246                   4.7   -0.7          0.3
B019-G072              6.3   -0.8          0.1
B020-G073              6.2   -0.9          0.1
B338-G076              6.5   -1.1          0.1
B021-G075              5.6   -0.5          0.1
B022-G074              5.2   -1.8          0.2
B339-G077              5.4   -0.5          0.2
B023-G078              6.9   -0.7          0.1
B248                   5.2   -1.4          0.2
B341-G081              5.7   -0.9          0.1
B024-G082              5.5   -0.6          0.1
B025-G084              5.7   -1.4          0.1
B249                   5.2    0.3          0.2
B027-G087              6.0   -1.3          0.1
B026-G086              5.3   -0.4          0.1
B028-G088              5.5   -2.5          0.2
B020D-G089             5.6   -2.1          0.2
B029-G090              5.7   -0.3          0.1
B030-G091              5.9   -0.3          0.1
B031-G092              5.3   -0.5          0.1
B032-G093              5.6   -0.7          0.1
B033-G095              5.3   -1.6          0.3
B034-G096              6.0   -0.6          0.1
B457-G097              5.4   -1.1          0.2
B035                   5.3   -0.8          0.1
B036                   5.4   -0.8          0.1
B037-V327              7.2   -0.8          0.1
B038-G098              5.9   -1.7          0.1
B039-G101              6.3   -0.8          0.1
B042-G104              6.6   -0.9          0.1
B044-G107              5.8   -0.8          0.1
B343-G105              5.7   -1.6          0.2
B045-G108              5.9   -0.9          0.1
B046-G109              5.1   -1.1          0.1
B048-G110              5.8   -0.8          0.1
B047-G111              5.2   -1.6          0.2
B050-G113              5.6   -0.8          0.1
B051-G114              6.0   -0.8          0.1
B054-G115              5.0   -0.2          0.1
B055-G116              6.0   -0.1          0.1
B254                   4.9   -0.9          0.2
B522                   4.7   -0.4          0.6
B056-G117              5.4   -0.0          0.1
B057-G118              5.1   -2.1          0.3
B058-G119              6.2   -1.1          0.1
B059-G120              5.7   -1.0          0.1
B060-G121              5.5   -1.8          0.1
B061-G122              6.0   -0.7          0.1
B063-G124              6.3   -0.8          0.1
B065-G126              5.5   -0.9          0.2
B064-G125              5.7   -1.3          0.1
B344-G127              5.8   -1.0          0.1
B067-G129              5.2   -1.4          0.1
B068-G130              6.1   -0.2          0.1
B257-V219              5.7   -0.2          0.1
B461-G131              5.1   -0.6          0.1
B041D                  5.5   -1.8          0.4
B070-G133              5.6   -1.9          0.2
B071                   5.1   -0.2          0.2
B073-G134              5.8   -0.6          0.1
B072                   5.8   -0.7          0.1
B074-G135              5.5   -1.5          0.1
B075-G136              5.4   -1.3          0.2
MITA140                6.3   -0.2          0.1
B045D                  4.9   -0.3          0.3
B076-G138              5.5   -1.3          0.1
B077-G139              5.7   -0.8          0.1
B078-G140              5.5   -1.0          0.2
B080-G141              5.8   -1.4          0.2
B345-G143              5.6   -1.5          0.1
B462                   4.9   -2.8          0.3
B082-G144              6.7   -0.7          0.1
B083-G146              5.3   -1.1          0.1
B084                   5.6   -1.1          0.2
B085-G147              5.5   -1.7          0.2
B086-G148              6.1   -1.8          0.2
B087                   4.9   -1.0          0.2
B088-G150              6.5   -1.8          0.1
B090                   4.8   -0.8          0.2
B092-G152              5.4   -1.0          0.1
B347-G154              5.4   -2.0          0.2
B348-G153              5.5   -0.8          0.1
B093-G155              5.7   -1.2          0.1
B094-G156              6.0   -0.4          0.1
B095-G157              6.1   -1.4          0.1
B096-G158              6.1   -0.3          0.1
B098                   5.7   -0.8          0.1
B097-G159              5.7   -1.0          0.1
B099-G161              5.5   -1.3          0.1
B515                   4.7    nan          nan
B056D                  4.8    nan          nan
B350-G162              5.5   -1.4          0.1
B100-G163              5.1   -0.9          0.1
B101-G164              5.4   -1.0          0.1
B103-G165              6.4   -0.5          0.1
B104-NB5               5.2   -1.4          0.2
B105-G166              5.3   -1.0          0.1
B106-G168              5.7   -0.6          0.1
B108-G167              5.4    0.0          0.2
B107-G169              6.0   -1.0          0.1
