# r[kpc]    med     low     upp
    1.47   16.8    9.76    26.8
    1.58   15.9    9.38    24.8
    1.65   15.3    9.16    23.4
    1.73   14.7    8.85    22.3
    1.81   14.0    8.57    21.1
    1.89   13.4    8.31    19.9
    1.98   12.7    7.95    18.8
    2.07   12.0    7.59    17.7
    2.17   11.4    7.28    16.9
    2.28   10.8    6.96    15.9
    2.41   10.1    6.67    14.9
    2.56   9.48    6.37    13.9
    2.73   8.88    5.96    12.8
    2.94   8.28    5.61    11.9
    3.15   7.71    5.22    10.9
    3.37   7.21    4.95    9.97
    3.59   6.77    4.69    9.28
    3.80   6.39    4.46    8.72
    4.02   6.01    4.20    8.22
    4.23   5.68    4.02    7.73
    4.45   5.44    3.83    7.35
    4.67   5.20    3.68    7.05
    4.88   4.96    3.51    6.71
    5.10   4.74    3.38    6.49
    5.31   4.56    3.27    6.18
    5.53   4.39    3.19    5.94
    5.75   4.25    3.06    5.75
    5.96   4.12    2.99    5.59
    6.18   3.98    2.93    5.43
    6.39   3.85    2.83    5.25
    6.61   3.74    2.75    5.09
    6.83   3.65    2.65    4.97
    7.04   3.59    2.58    4.80
    7.26   3.49    2.53    4.67
    7.47   3.42    2.47    4.59
    7.69   3.33    2.43    4.52
    7.91   3.28    2.35    4.43
    8.12   3.23    2.28    4.35
    8.34   3.15    2.23    4.30
    8.55   3.08    2.19    4.24
    8.77   3.02    2.14    4.16
    8.99   2.96    2.09    4.09
    9.20   2.92    2.03    4.00
    9.42   2.89    1.99    3.94
    9.63   2.82    1.98    3.89
    9.85   2.78    1.96    3.84
    10.1   2.74    1.94    3.74
    10.3   2.69    1.89    3.73
    10.5   2.64    1.85    3.68
    10.9   2.58    1.80    3.62
    11.1   2.55    1.77    3.58
    11.3   2.53    1.73    3.53
    11.6   2.46    1.70    3.50
    11.8   2.43    1.66    3.44
    12.1   2.40    1.64    3.41
    12.3   2.38    1.62    3.34
    12.5   2.37    1.59    3.32
    12.9   2.32    1.56    3.26
    13.1   2.28    1.53    3.25
    13.3   2.26    1.50    3.23
    13.6   2.23    1.47    3.19
    13.8   2.21    1.45    3.19
    14.1   2.21    1.40    3.14
    14.3   2.16    1.39    3.11
    14.5   2.15    1.39    3.08
    14.8   2.10    1.36    3.04
    15.0   2.08    1.35    3.00
