# log(Mcl/Msun)        N (Johnson et al. 2017)[doi:10.3847/1538-4357/aa6a1f]
3.033                  0
3.033            25.6306
3.133            25.6306
3.133            15.5484
3.233            15.5484
3.233            17.2526
3.333            17.2526
3.333             9.8494
3.433             9.8494
3.433             6.9348
3.533             6.9348
3.533             5.5754
3.633             5.5754
3.633             5.2477
3.733             5.2477
3.733             3.0280
3.833             3.0280
3.833             2.2659
3.933             2.2659
3.933             1.8552
4.033             1.8552
4.033             0.8225
4.133             0.8225
4.133             0.3069
4.233             0.3069
4.233             0.0812
4.233                  0
